t1,r1,p1,l1,t2,r2,p2,l2,t3,r3,p3,l3,t4,r4,p4,l4,t5,r5,p5,l5,t6,r6,p6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,estado
62.68759,1,1,7,140.536388,9,8,10,128.19093,1,5,16,137.43969,1,6,12,121.705511,2,2,12,113.29597,1,3,10,1,1,1,0,0,1,1,1,1,1,1,1,67,703.856078,25,15.260199,A
48.951573,2,8,7,114.844137,4,36,10,218.702312,5,57,16,80.660985,3,13,10,105.261861,4,17,8,40.689853,2,10,10,1,1,1,1,1,1,1,1,1,1,1,1,61,609.110721,141,20.49772,A
44.468209,1,16,9,50.736557,2,14,10,88.267233,1,20,21,40.099366,1,4,10,37.348264,1,4,13,61.3902,2,7,10,0,1,0,1,0,1,1,1,0,1,1,1,73,322.309829,65,14.985825,A
25.818743,1,2,7,39.286078,2,5,10,71.439978,1,8,16,26.701973,1,4,10,23.118107,1,3,8,33.236005,1,4,10,1,1,1,1,1,1,1,1,1,1,1,1,61,219.600884,26,9.693081,A
276.037733,1,10,9,70.576885,1,5,10,169.414494,1,11,18,63.274122,1,4,10,106.907017,1,5,12,53.437245,1,5,10,0,1,0,1,0,1,1,1,0,1,1,1,69,739.647495,40,16.843316,A
222.426953,12,130,9,49.99806,1,10,10,159.071594,2,27,16,44.618697,1,5,10,65.304009,1,3,12,92.917845,1,7,14,0,1,1,1,0,0,1,1,1,1,1,1,71,634.337157,182,24.846737,A
368.407706,7,41,7,31.624853,1,4,10,109.115839,2,17,16,38.628503,1,2,10,47.938837,1,4,12,77.925654,2,7,10,1,1,1,1,0,1,1,1,1,1,1,1,65,673.641393,75,17.713662,A
85.596734,1,8,7,217.07118,7,16,10,150.40652,1,11,17,96.7101,1,5,15,59.137248,1,2,12,102.937465,2,7,10,1,1,0,0,0,1,1,1,0,0,1,1,71,711.859248,49,17.445343,A
630.392987,4,7,7,126.4886,3,7,13,244.44514,3,20,28,49.49366,1,2,10,44.5821,1,2,8,79.84202,2,5,10,1,0,0,1,1,1,1,1,0,1,1,1,76,1175.244507,43,22.345389,A
184.41132,3,11,7,68.198173,2,3,10,255.558747,5,13,16,173.878493,6,18,10,77.513733,2,5,8,32.93254,1,5,10,1,1,1,1,1,1,1,1,1,1,1,1,61,792.493007,55,16.997572,A
