t1,r1,p1,l1,t2,r2,p2,l2,t3,r3,p3,l3,t4,r4,p4,l4,t5,r5,p5,l5,t6,r6,p6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,estado
'\'(80.790919-135.14993]\'',1,26,9,'\'(57.36167-76.549137]\'',2,13,10,'\'(159.869152-241.1566]\'',3,50,17,'\'(41.626247-55.248765]\'',1,8,14,'\'(81.517634-inf)\'',4,12,8,'\'(38.860268-48.843097]\'',1,8,10,0,1,0,0,1,1,1,1,0,1,1,1,68,'\'(573.253523-741.552114]\'',117,'\'(18.512556-21.845585]\'',R
'\'(-inf-37.138995]\'',1,2,8,'\'(-inf-41.257811]\'',1,5,12,'\'(-inf-82.466974]\'',1,8,16,'\'(74.303022-112.254647]\'',2,5,14,'\'(35.369728-46.650883]\'',1,4,12,'\'(48.843097-64.248229]\'',1,8,12,0,0,1,0,0,0,1,1,1,1,1,1,74,'\'(-inf-366.642526]\'',32,'\'(-inf-13.465411]\'',R
'\'(37.138995-55.369498]\'',1,1,7,'\'(115.960834-inf)\'',3,28,10,'\'(-inf-82.466974]\'',1,11,16,'\'(41.626247-55.248765]\'',1,9,10,'\'(35.369728-46.650883]\'',1,6,10,'\'(38.860268-48.843097]\'',1,5,13,1,1,1,1,0,0,1,1,1,1,1,1,66,'\'(366.642526-459.963402]\'',60,'\'(13.465411-15.967208]\'',R
'\'(80.790919-135.14993]\'',1,10,13,'\'(41.257811-57.36167]\'',1,6,10,'\'(-inf-82.466974]\'',1,11,16,'\'(41.626247-55.248765]\'',1,5,10,'\'(58.860938-81.517634]\'',2,7,8,'\'(38.860268-48.843097]\'',1,6,10,0,1,1,1,1,1,1,1,1,1,1,1,67,'\'(-inf-366.642526]\'',45,'\'(-inf-13.465411]\'',R
'\'(80.790919-135.14993]\'',2,4,11,'\'(115.960834-inf)\'',4,10,10,'\'(159.869152-241.1566]\'',2,20,16,'\'(55.248765-74.303022]\'',2,18,10,'\'(35.369728-46.650883]\'',2,4,8,'\'(38.860268-48.843097]\'',1,5,10,0,1,1,1,1,1,1,1,1,1,1,1,65,'\'(573.253523-741.552114]\'',61,'\'(15.967208-18.512556]\'',R
'\'(55.369498-80.790919]\'',2,9,7,'\'(41.257811-57.36167]\'',1,6,10,'\'(112.968721-159.869152]\'',1,13,18,'\'(74.303022-112.254647]\'',2,7,10,'\'(46.650883-58.860938]\'',1,4,13,'\'(95.929302-inf)\'',2,13,16,1,1,0,1,0,0,1,1,0,1,1,0,74,'\'(573.253523-741.552114]\'',52,'\'(15.967208-18.512556]\'',R
'\'(80.790919-135.14993]\'',1,5,9,'\'(115.960834-inf)\'',1,7,28,'\'(241.1566-inf)\'',2,10,25,'\'(112.254647-inf)\'',2,5,11,'\'(81.517634-inf)\'',1,4,18,'\'(95.929302-inf)\'',2,6,18,0,0,0,0,0,0,1,0,0,1,0,0,109,'\'(741.552114-inf)\'',37,'\'(21.845585-inf)\'',R
'\'(55.369498-80.790919]\'',1,1,9,'\'(-inf-41.257811]\'',1,7,10,'\'(-inf-82.466974]\'',1,12,16,'\'(-inf-41.626247]\'',1,3,10,'\'(-inf-35.369728]\'',1,2,8,'\'(48.843097-64.248229]\'',2,9,10,0,1,1,1,1,1,1,1,1,1,1,1,63,'\'(-inf-366.642526]\'',34,'\'(-inf-13.465411]\'',R
'\'(80.790919-135.14993]\'',1,14,13,'\'(57.36167-76.549137]\'',1,4,12,'\'(241.1566-inf)\'',2,13,16,'\'(41.626247-55.248765]\'',1,5,10,'\'(-inf-35.369728]\'',1,5,8,'\'(38.860268-48.843097]\'',1,6,14,0,0,1,1,1,0,1,1,1,1,1,1,73,'\'(573.253523-741.552114]\'',47,'\'(15.967208-18.512556]\'',R
'\'(80.790919-135.14993]\'',1,8,9,'\'(57.36167-76.549137]\'',1,16,14,'\'(112.968721-159.869152]\'',2,52,38,'\'(55.248765-74.303022]\'',2,25,10,'\'(46.650883-58.860938]\'',1,3,8,'\'(-inf-38.860268]\'',1,5,10,0,0,0,1,1,1,1,1,0,1,1,1,89,'\'(459.963402-573.253523]\'',109,'\'(18.512556-21.845585]\'',R
