t1,r1,p1,l1,t2,r2,p2,l2,t3,r3,p3,l3,t4,r4,p4,l4,t5,r5,p5,l5,t6,r6,p6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,estado
'\'(37.138995-55.369498]\'',1,5,7,'\'(41.257811-57.36167]\'',1,4,10,'\'(82.466974-112.968721]\'',1,11,16,'\'(41.626247-55.248765]\'',1,7,10,'\'(35.369728-46.650883]\'',1,4,8,'\'(48.843097-64.248229]\'',1,6,10,1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(-inf-366.642526]\'',37,'\'(-inf-13.465411]\'',A
'\'(37.138995-55.369498]\'',2,2,7,'\'(57.36167-76.549137]\'',2,6,10,'\'(241.1566-inf)\'',6,39,20,'\'(41.626247-55.248765]\'',1,5,11,'\'(-inf-35.369728]\'',1,3,8,'\'(95.929302-inf)\'',2,16,14,1,1,0,0,1,0,1,1,0,1,1,1,70,'\'(741.552114-inf)\'',71,'\'(18.512556-21.845585]\'',A
'\'(135.14993-inf)\'',2,22,9,'\'(57.36167-76.549137]\'',1,7,10,'\'(241.1566-inf)\'',2,23,18,'\'(55.248765-74.303022]\'',1,9,11,'\'(58.860938-81.517634]\'',1,22,13,'\'(64.248229-95.929302]\'',1,22,18,0,1,0,0,0,0,1,1,0,1,1,0,79,'\'(573.253523-741.552114]\'',105,'\'(21.845585-inf)\'',A
'\'(55.369498-80.790919]\'',3,1,7,'\'(57.36167-76.549137]\'',2,3,10,'\'(-inf-82.466974]\'',1,3,16,'\'(41.626247-55.248765]\'',1,3,12,'\'(35.369728-46.650883]\'',1,4,10,'\'(38.860268-48.843097]\'',1,4,10,1,1,1,0,0,1,1,1,1,1,1,1,65,'\'(-inf-366.642526]\'',18,'\'(-inf-13.465411]\'',A
'\'(80.790919-135.14993]\'',2,7,7,'\'(41.257811-57.36167]\'',2,5,10,'\'(82.466974-112.968721]\'',2,10,16,'\'(112.254647-inf)\'',1,4,10,'\'(58.860938-81.517634]\'',2,6,8,'\'(64.248229-95.929302]\'',1,5,10,1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(459.963402-573.253523]\'',37,'\'(-inf-13.465411]\'',A
'\'(135.14993-inf)\'',2,8,9,'\'(115.960834-inf)\'',2,13,14,'\'(112.968721-159.869152]\'',1,10,16,'\'(55.248765-74.303022]\'',1,4,11,'\'(58.860938-81.517634]\'',1,5,15,'\'(64.248229-95.929302]\'',1,2,10,0,0,1,0,0,1,1,1,1,1,0,1,75,'\'(573.253523-741.552114]\'',42,'\'(15.967208-18.512556]\'',A
'\'(55.369498-80.790919]\'',2,6,7,'\'(41.257811-57.36167]\'',1,6,12,'\'(241.1566-inf)\'',3,14,30,'\'(112.254647-inf)\'',3,6,15,'\'(58.860938-81.517634]\'',1,5,12,'\'(95.929302-inf)\'',1,7,23,1,0,0,0,0,0,1,1,0,0,1,0,99,'\'(741.552114-inf)\'',44,'\'(21.845585-inf)\'',A
'\'(37.138995-55.369498]\'',1,16,7,'\'(-inf-41.257811]\'',1,13,10,'\'(112.968721-159.869152]\'',2,19,19,'\'(-inf-41.626247]\'',1,5,12,'\'(-inf-35.369728]\'',1,3,8,'\'(-inf-38.860268]\'',1,4,14,1,1,0,0,1,0,1,1,0,1,1,1,70,'\'(-inf-366.642526]\'',60,'\'(13.465411-15.967208]\'',A
'\'(135.14993-inf)\'',4,37,7,'\'(41.257811-57.36167]\'',1,7,10,'\'(-inf-82.466974]\'',1,7,16,'\'(74.303022-112.254647]\'',1,7,12,'\'(46.650883-58.860938]\'',1,4,10,'\'(38.860268-48.843097]\'',1,4,10,1,1,1,0,0,1,1,1,1,1,1,1,65,'\'(573.253523-741.552114]\'',66,'\'(15.967208-18.512556]\'',A
'\'(37.138995-55.369498]\'',1,4,9,'\'(57.36167-76.549137]\'',1,6,10,'\'(82.466974-112.968721]\'',1,7,16,'\'(112.254647-inf)\'',1,8,18,'\'(81.517634-inf)\'',1,8,17,'\'(48.843097-64.248229]\'',1,7,12,0,1,1,0,0,0,1,1,1,0,0,1,82,'\'(459.963402-573.253523]\'',40,'\'(15.967208-18.512556]\'',A
'\'(37.138995-55.369498]\'',1,7,7,'\'(115.960834-inf)\'',2,18,16,'\'(82.466974-112.968721]\'',3,12,18,'\'(55.248765-74.303022]\'',1,5,14,'\'(58.860938-81.517634]\'',1,4,12,'\'(48.843097-64.248229]\'',3,8,10,1,0,0,0,0,1,1,1,0,1,1,1,77,'\'(366.642526-459.963402]\'',54,'\'(15.967208-18.512556]\'',A
'\'(37.138995-55.369498]\'',1,1,9,'\'(115.960834-inf)\'',2,3,10,'\'(112.968721-159.869152]\'',1,5,16,'\'(41.626247-55.248765]\'',1,3,10,'\'(58.860938-81.517634]\'',2,3,8,'\'(-inf-38.860268]\'',1,2,10,0,1,1,1,1,1,1,1,1,1,1,1,63,'\'(459.963402-573.253523]\'',17,'\'(-inf-13.465411]\'',A
'\'(-inf-37.138995]\'',1,5,7,'\'(41.257811-57.36167]\'',3,8,10,'\'(-inf-82.466974]\'',1,7,17,'\'(-inf-41.626247]\'',1,3,12,'\'(35.369728-46.650883]\'',2,3,8,'\'(-inf-38.860268]\'',1,3,10,1,1,0,0,1,1,1,1,0,1,1,1,64,'\'(-inf-366.642526]\'',29,'\'(-inf-13.465411]\'',A
'\'(-inf-37.138995]\'',1,1,7,'\'(41.257811-57.36167]\'',1,2,10,'\'(82.466974-112.968721]\'',1,5,17,'\'(112.254647-inf)\'',3,20,12,'\'(46.650883-58.860938]\'',1,12,11,'\'(38.860268-48.843097]\'',1,9,10,1,1,0,0,0,1,1,1,0,1,1,1,67,'\'(366.642526-459.963402]\'',49,'\'(13.465411-15.967208]\'',A
'\'(55.369498-80.790919]\'',2,2,7,'\'(115.960834-inf)\'',2,14,10,'\'(241.1566-inf)\'',2,10,16,'\'(112.254647-inf)\'',1,2,10,'\'(46.650883-58.860938]\'',1,3,8,'\'(48.843097-64.248229]\'',1,4,10,1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(741.552114-inf)\'',35,'\'(15.967208-18.512556]\'',A
'\'(80.790919-135.14993]\'',3,6,7,'\'(115.960834-inf)\'',7,23,10,'\'(241.1566-inf)\'',4,8,16,'\'(55.248765-74.303022]\'',1,3,12,'\'(-inf-35.369728]\'',1,2,8,'\'(95.929302-inf)\'',2,3,10,1,1,1,0,1,1,1,1,1,1,1,1,63,'\'(741.552114-inf)\'',45,'\'(18.512556-21.845585]\'',A
'\'(135.14993-inf)\'',3,17,9,'\'(41.257811-57.36167]\'',1,3,10,'\'(159.869152-241.1566]\'',5,13,17,'\'(41.626247-55.248765]\'',2,4,10,'\'(58.860938-81.517634]\'',2,6,8,'\'(38.860268-48.843097]\'',1,5,10,0,1,0,1,1,1,1,1,0,1,1,1,64,'\'(573.253523-741.552114]\'',48,'\'(13.465411-15.967208]\'',A
'\'(80.790919-135.14993]\'',1,6,15,'\'(76.549137-115.960834]\'',1,8,12,'\'(159.869152-241.1566]\'',1,19,30,'\'(112.254647-inf)\'',1,39,20,'\'(81.517634-inf)\'',2,8,8,'\'(64.248229-95.929302]\'',1,10,17,0,0,0,0,1,0,1,1,0,0,1,0,102,'\'(573.253523-741.552114]\'',90,'\'(21.845585-inf)\'',A
'\'(37.138995-55.369498]\'',1,2,7,'\'(57.36167-76.549137]\'',1,15,14,'\'(82.466974-112.968721]\'',1,19,25,'\'(-inf-41.626247]\'',1,12,14,'\'(-inf-35.369728]\'',1,15,19,'\'(48.843097-64.248229]\'',2,20,19,1,0,0,0,0,0,1,1,0,1,0,0,98,'\'(-inf-366.642526]\'',83,'\'(18.512556-21.845585]\'',A
'\'(55.369498-80.790919]\'',2,10,7,'\'(76.549137-115.960834]\'',2,6,10,'\'(159.869152-241.1566]\'',2,28,21,'\'(74.303022-112.254647]\'',1,9,20,'\'(81.517634-inf)\'',1,5,13,'\'(48.843097-64.248229]\'',1,4,10,1,1,0,0,0,1,1,1,0,0,1,1,81,'\'(573.253523-741.552114]\'',62,'\'(18.512556-21.845585]\'',A
'\'(135.14993-inf)\'',9,28,7,'\'(57.36167-76.549137]\'',1,11,10,'\'(112.968721-159.869152]\'',1,7,16,'\'(41.626247-55.248765]\'',1,3,10,'\'(58.860938-81.517634]\'',2,4,8,'\'(95.929302-inf)\'',2,7,10,1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(741.552114-inf)\'',60,'\'(15.967208-18.512556]\'',A
'\'(-inf-37.138995]\'',1,2,7,'\'(57.36167-76.549137]\'',2,5,10,'\'(159.869152-241.1566]\'',2,12,17,'\'(55.248765-74.303022]\'',2,4,10,'\'(-inf-35.369728]\'',1,2,8,'\'(-inf-38.860268]\'',1,3,10,1,1,0,1,1,1,1,1,0,1,1,1,62,'\'(366.642526-459.963402]\'',28,'\'(-inf-13.465411]\'',A
'\'(80.790919-135.14993]\'',2,11,7,'\'(115.960834-inf)\'',4,35,10,'\'(241.1566-inf)\'',5,37,16,'\'(112.254647-inf)\'',3,13,12,'\'(81.517634-inf)\'',2,8,13,'\'(64.248229-95.929302]\'',1,1,10,1,1,1,0,0,1,1,1,1,1,1,1,68,'\'(741.552114-inf)\'',105,'\'(21.845585-inf)\'',A
'\'(135.14993-inf)\'',13,214,31,'\'(57.36167-76.549137]\'',1,10,10,'\'(-inf-82.466974]\'',2,17,16,'\'(41.626247-55.248765]\'',1,9,10,'\'(-inf-35.369728]\'',1,5,8,'\'(38.860268-48.843097]\'',1,10,10,0,1,1,1,1,1,0,1,1,1,1,1,85,'\'(741.552114-inf)\'',265,'\'(21.845585-inf)\'',A
'\'(-inf-37.138995]\'',1,7,9,'\'(41.257811-57.36167]\'',1,7,12,'\'(-inf-82.466974]\'',1,13,19,'\'(112.254647-inf)\'',2,39,14,'\'(81.517634-inf)\'',3,14,10,'\'(-inf-38.860268]\'',1,6,10,0,0,0,0,0,1,1,1,0,1,1,1,74,'\'(459.963402-573.253523]\'',86,'\'(15.967208-18.512556]\'',A
'\'(-inf-37.138995]\'',1,1,7,'\'(41.257811-57.36167]\'',2,5,10,'\'(-inf-82.466974]\'',1,7,16,'\'(-inf-41.626247]\'',1,4,12,'\'(-inf-35.369728]\'',1,2,8,'\'(-inf-38.860268]\'',1,4,10,1,1,1,0,1,1,1,1,1,1,1,1,63,'\'(-inf-366.642526]\'',23,'\'(-inf-13.465411]\'',A
'\'(135.14993-inf)\'',6,59,15,'\'(76.549137-115.960834]\'',1,29,24,'\'(-inf-82.466974]\'',1,19,18,'\'(-inf-41.626247]\'',1,13,12,'\'(35.369728-46.650883]\'',2,23,13,'\'(38.860268-48.843097]\'',1,14,17,0,0,0,0,0,0,1,0,0,1,1,0,99,'\'(366.642526-459.963402]\'',157,'\'(21.845585-inf)\'',A
'\'(135.14993-inf)\'',6,25,15,'\'(115.960834-inf)\'',10,25,10,'\'(159.869152-241.1566]\'',4,34,18,'\'(41.626247-55.248765]\'',1,3,10,'\'(-inf-35.369728]\'',1,5,12,'\'(38.860268-48.843097]\'',1,6,10,0,1,0,1,0,1,1,1,0,1,1,1,75,'\'(741.552114-inf)\'',98,'\'(21.845585-inf)\'',A
'\'(-inf-37.138995]\'',1,1,7,'\'(-inf-41.257811]\'',1,2,10,'\'(-inf-82.466974]\'',1,2,17,'\'(41.626247-55.248765]\'',1,4,12,'\'(46.650883-58.860938]\'',1,2,14,'\'(-inf-38.860268]\'',1,2,10,1,1,0,0,0,1,1,1,0,1,1,1,70,'\'(-inf-366.642526]\'',13,'\'(-inf-13.465411]\'',A
'\'(37.138995-55.369498]\'',1,7,11,'\'(41.257811-57.36167]\'',1,10,14,'\'(82.466974-112.968721]\'',1,17,19,'\'(-inf-41.626247]\'',1,3,10,'\'(58.860938-81.517634]\'',2,7,12,'\'(95.929302-inf)\'',1,15,19,0,0,0,1,0,0,1,1,0,1,1,0,85,'\'(366.642526-459.963402]\'',59,'\'(15.967208-18.512556]\'',A
'\'(55.369498-80.790919]\'',1,1,8,'\'(41.257811-57.36167]\'',1,9,10,'\'(112.968721-159.869152]\'',1,10,16,'\'(41.626247-55.248765]\'',1,4,10,'\'(46.650883-58.860938]\'',1,5,8,'\'(48.843097-64.248229]\'',1,6,10,0,1,1,1,1,1,1,1,1,1,1,1,62,'\'(366.642526-459.963402]\'',35,'\'(-inf-13.465411]\'',A
'\'(80.790919-135.14993]\'',1,15,17,'\'(115.960834-inf)\'',1,13,10,'\'(241.1566-inf)\'',3,41,25,'\'(112.254647-inf)\'',3,16,14,'\'(35.369728-46.650883]\'',1,6,12,'\'(95.929302-inf)\'',1,8,24,0,1,0,0,0,0,1,1,0,1,1,0,102,'\'(741.552114-inf)\'',99,'\'(21.845585-inf)\'',A
'\'(80.790919-135.14993]\'',1,13,9,'\'(-inf-41.257811]\'',1,10,10,'\'(241.1566-inf)\'',3,42,47,'\'(55.248765-74.303022]\'',1,13,16,'\'(58.860938-81.517634]\'',2,6,12,'\'(48.843097-64.248229]\'',2,11,12,0,1,0,0,0,0,1,1,0,0,1,1,106,'\'(573.253523-741.552114]\'',95,'\'(21.845585-inf)\'',A
'\'(55.369498-80.790919]\'',1,3,7,'\'(76.549137-115.960834]\'',1,6,14,'\'(241.1566-inf)\'',5,44,26,'\'(74.303022-112.254647]\'',1,12,16,'\'(58.860938-81.517634]\'',1,5,14,'\'(-inf-38.860268]\'',1,5,11,1,0,0,0,0,0,1,1,0,0,1,1,88,'\'(741.552114-inf)\'',75,'\'(21.845585-inf)\'',A
'\'(37.138995-55.369498]\'',1,6,7,'\'(-inf-41.257811]\'',1,5,10,'\'(112.968721-159.869152]\'',2,14,20,'\'(41.626247-55.248765]\'',1,5,10,'\'(81.517634-inf)\'',4,8,8,'\'(48.843097-64.248229]\'',2,8,10,1,1,0,1,1,1,1,1,0,1,1,1,65,'\'(459.963402-573.253523]\'',46,'\'(13.465411-15.967208]\'',A
'\'(37.138995-55.369498]\'',1,6,7,'\'(-inf-41.257811]\'',1,4,10,'\'(112.968721-159.869152]\'',1,3,17,'\'(-inf-41.626247]\'',1,4,10,'\'(58.860938-81.517634]\'',2,4,8,'\'(48.843097-64.248229]\'',1,5,14,1,1,0,1,1,0,1,1,0,1,1,1,66,'\'(366.642526-459.963402]\'',26,'\'(-inf-13.465411]\'',A
'\'(-inf-37.138995]\'',1,1,7,'\'(57.36167-76.549137]\'',2,12,10,'\'(82.466974-112.968721]\'',2,21,17,'\'(-inf-41.626247]\'',1,7,10,'\'(35.369728-46.650883]\'',1,4,13,'\'(48.843097-64.248229]\'',2,15,10,1,1,0,1,0,1,1,1,0,1,1,1,67,'\'(-inf-366.642526]\'',60,'\'(13.465411-15.967208]\'',A
'\'(-inf-37.138995]\'',1,1,7,'\'(57.36167-76.549137]\'',4,7,10,'\'(-inf-82.466974]\'',1,23,16,'\'(-inf-41.626247]\'',1,2,10,'\'(-inf-35.369728]\'',1,2,8,'\'(48.843097-64.248229]\'',2,10,12,1,1,1,1,1,0,1,1,1,1,1,1,63,'\'(-inf-366.642526]\'',45,'\'(-inf-13.465411]\'',A
'\'(-inf-37.138995]\'',1,1,7,'\'(76.549137-115.960834]\'',2,8,10,'\'(112.968721-159.869152]\'',2,13,16,'\'(112.254647-inf)\'',4,10,10,'\'(81.517634-inf)\'',2,8,10,'\'(48.843097-64.248229]\'',1,5,12,1,1,1,1,0,0,1,1,1,1,1,1,65,'\'(459.963402-573.253523]\'',45,'\'(13.465411-15.967208]\'',A
'\'(135.14993-inf)\'',2,27,7,'\'(57.36167-76.549137]\'',1,14,16,'\'(159.869152-241.1566]\'',2,55,41,'\'(112.254647-inf)\'',2,31,27,'\'(35.369728-46.650883]\'',1,9,14,'\'(64.248229-95.929302]\'',1,12,15,1,0,0,0,0,0,1,1,0,0,1,0,120,'\'(573.253523-741.552114]\'',148,'\'(21.845585-inf)\'',A
'\'(80.790919-135.14993]\'',2,6,8,'\'(41.257811-57.36167]\'',1,6,10,'\'(82.466974-112.968721]\'',1,6,18,'\'(74.303022-112.254647]\'',1,8,17,'\'(35.369728-46.650883]\'',1,3,10,'\'(38.860268-48.843097]\'',1,3,10,0,1,0,0,0,1,1,1,0,0,1,1,73,'\'(366.642526-459.963402]\'',32,'\'(13.465411-15.967208]\'',A
'\'(135.14993-inf)\'',3,11,11,'\'(-inf-41.257811]\'',1,6,10,'\'(112.968721-159.869152]\'',1,12,16,'\'(74.303022-112.254647]\'',1,7,17,'\'(46.650883-58.860938]\'',1,5,12,'\'(38.860268-48.843097]\'',1,8,12,0,1,1,0,0,0,1,1,1,0,1,1,78,'\'(573.253523-741.552114]\'',49,'\'(15.967208-18.512556]\'',A
'\'(55.369498-80.790919]\'',1,10,9,'\'(41.257811-57.36167]\'',1,13,10,'\'(241.1566-inf)\'',3,34,24,'\'(41.626247-55.248765]\'',1,4,10,'\'(35.369728-46.650883]\'',1,4,10,'\'(95.929302-inf)\'',3,13,17,0,1,0,1,0,0,1,1,0,1,1,0,80,'\'(573.253523-741.552114]\'',78,'\'(18.512556-21.845585]\'',A
'\'(80.790919-135.14993]\'',3,47,7,'\'(41.257811-57.36167]\'',1,11,10,'\'(-inf-82.466974]\'',1,11,18,'\'(112.254647-inf)\'',3,27,10,'\'(-inf-35.369728]\'',1,14,14,'\'(-inf-38.860268]\'',1,12,12,1,1,0,1,0,0,1,1,0,1,1,1,71,'\'(366.642526-459.963402]\'',122,'\'(18.512556-21.845585]\'',A
'\'(-inf-37.138995]\'',1,11,7,'\'(41.257811-57.36167]\'',1,11,12,'\'(159.869152-241.1566]\'',2,14,16,'\'(55.248765-74.303022]\'',2,4,10,'\'(81.517634-inf)\'',5,8,8,'\'(38.860268-48.843097]\'',1,3,10,1,0,1,1,1,1,1,1,1,1,1,1,63,'\'(366.642526-459.963402]\'',51,'\'(13.465411-15.967208]\'',A
'\'(37.138995-55.369498]\'',1,2,7,'\'(115.960834-inf)\'',3,14,10,'\'(159.869152-241.1566]\'',1,9,18,'\'(74.303022-112.254647]\'',1,5,20,'\'(81.517634-inf)\'',2,5,15,'\'(95.929302-inf)\'',1,8,22,1,1,0,0,0,0,1,1,0,0,0,0,92,'\'(573.253523-741.552114]\'',43,'\'(18.512556-21.845585]\'',A
'\'(55.369498-80.790919]\'',1,2,10,'\'(76.549137-115.960834]\'',2,5,10,'\'(241.1566-inf)\'',3,24,42,'\'(74.303022-112.254647]\'',1,5,19,'\'(58.860938-81.517634]\'',1,4,22,'\'(64.248229-95.929302]\'',1,12,18,0,1,0,0,0,0,1,1,0,0,0,0,121,'\'(573.253523-741.552114]\'',52,'\'(21.845585-inf)\'',A
'\'(80.790919-135.14993]\'',1,9,13,'\'(76.549137-115.960834]\'',1,11,16,'\'(82.466974-112.968721]\'',1,8,16,'\'(55.248765-74.303022]\'',1,4,10,'\'(58.860938-81.517634]\'',2,5,8,'\'(38.860268-48.843097]\'',1,6,10,0,0,1,1,1,1,1,1,1,1,1,1,73,'\'(366.642526-459.963402]\'',43,'\'(13.465411-15.967208]\'',A
'\'(80.790919-135.14993]\'',2,21,9,'\'(-inf-41.257811]\'',1,4,10,'\'(241.1566-inf)\'',4,31,16,'\'(74.303022-112.254647]\'',2,5,10,'\'(46.650883-58.860938]\'',2,6,8,'\'(64.248229-95.929302]\'',2,8,11,0,1,1,1,1,0,1,1,1,1,1,1,64,'\'(573.253523-741.552114]\'',75,'\'(15.967208-18.512556]\'',A
'\'(37.138995-55.369498]\'',1,1,7,'\'(41.257811-57.36167]\'',1,4,10,'\'(-inf-82.466974]\'',1,4,16,'\'(-inf-41.626247]\'',1,3,10,'\'(-inf-35.369728]\'',1,2,8,'\'(38.860268-48.843097]\'',1,3,10,1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(-inf-366.642526]\'',17,'\'(-inf-13.465411]\'',A
'\'(55.369498-80.790919]\'',1,8,7,'\'(41.257811-57.36167]\'',1,10,10,'\'(82.466974-112.968721]\'',1,14,19,'\'(55.248765-74.303022]\'',1,8,10,'\'(-inf-35.369728]\'',1,6,8,'\'(48.843097-64.248229]\'',1,9,12,1,1,0,1,1,0,1,1,0,1,1,1,66,'\'(-inf-366.642526]\'',55,'\'(13.465411-15.967208]\'',A
'\'(135.14993-inf)\'',4,47,15,'\'(-inf-41.257811]\'',1,5,10,'\'(159.869152-241.1566]\'',2,14,28,'\'(74.303022-112.254647]\'',2,13,18,'\'(35.369728-46.650883]\'',1,6,12,'\'(-inf-38.860268]\'',1,3,10,0,1,0,0,0,1,1,1,0,0,1,1,93,'\'(459.963402-573.253523]\'',88,'\'(18.512556-21.845585]\'',A
'\'(80.790919-135.14993]\'',1,21,10,'\'(76.549137-115.960834]\'',1,17,15,'\'(241.1566-inf)\'',4,49,16,'\'(55.248765-74.303022]\'',1,17,16,'\'(58.860938-81.517634]\'',1,15,13,'\'(38.860268-48.843097]\'',1,10,10,0,0,1,0,0,1,1,1,1,0,1,1,80,'\'(573.253523-741.552114]\'',129,'\'(21.845585-inf)\'',A
'\'(55.369498-80.790919]\'',1,3,9,'\'(115.960834-inf)\'',6,37,10,'\'(112.968721-159.869152]\'',1,6,16,'\'(112.254647-inf)\'',1,2,10,'\'(58.860938-81.517634]\'',1,2,8,'\'(64.248229-95.929302]\'',2,5,10,0,1,1,1,1,1,1,1,1,1,1,1,63,'\'(741.552114-inf)\'',55,'\'(21.845585-inf)\'',A
'\'(135.14993-inf)\'',2,25,14,'\'(41.257811-57.36167]\'',1,11,10,'\'(82.466974-112.968721]\'',1,9,16,'\'(74.303022-112.254647]\'',1,3,10,'\'(-inf-35.369728]\'',1,3,8,'\'(64.248229-95.929302]\'',2,7,10,0,1,1,1,1,1,1,1,1,1,1,1,68,'\'(459.963402-573.253523]\'',58,'\'(13.465411-15.967208]\'',A
'\'(80.790919-135.14993]\'',3,10,7,'\'(115.960834-inf)\'',5,28,10,'\'(112.968721-159.869152]\'',2,23,18,'\'(74.303022-112.254647]\'',3,18,12,'\'(46.650883-58.860938]\'',3,18,12,'\'(38.860268-48.843097]\'',1,8,10,1,1,0,0,0,1,1,1,0,1,1,1,69,'\'(573.253523-741.552114]\'',105,'\'(18.512556-21.845585]\'',A
'\'(-inf-37.138995]\'',1,2,8,'\'(57.36167-76.549137]\'',1,6,14,'\'(112.968721-159.869152]\'',3,5,32,'\'(74.303022-112.254647]\'',2,10,12,'\'(-inf-35.369728]\'',1,3,12,'\'(38.860268-48.843097]\'',1,5,10,0,0,0,0,0,1,1,1,0,1,1,1,88,'\'(366.642526-459.963402]\'',31,'\'(13.465411-15.967208]\'',A
'\'(-inf-37.138995]\'',1,1,8,'\'(76.549137-115.960834]\'',2,4,14,'\'(241.1566-inf)\'',3,8,30,'\'(74.303022-112.254647]\'',1,2,14,'\'(58.860938-81.517634]\'',2,6,14,'\'(64.248229-95.929302]\'',1,3,17,0,0,0,0,0,0,1,1,0,1,1,0,97,'\'(573.253523-741.552114]\'',24,'\'(18.512556-21.845585]\'',A
'\'(37.138995-55.369498]\'',3,3,7,'\'(-inf-41.257811]\'',1,2,10,'\'(112.968721-159.869152]\'',3,11,16,'\'(-inf-41.626247]\'',1,2,10,'\'(-inf-35.369728]\'',1,2,8,'\'(64.248229-95.929302]\'',2,5,11,1,1,1,1,1,0,1,1,1,1,1,1,62,'\'(-inf-366.642526]\'',25,'\'(-inf-13.465411]\'',A
'\'(135.14993-inf)\'',8,58,7,'\'(57.36167-76.549137]\'',1,10,10,'\'(159.869152-241.1566]\'',3,20,16,'\'(112.254647-inf)\'',2,5,10,'\'(46.650883-58.860938]\'',1,2,8,'\'(95.929302-inf)\'',1,5,15,1,1,1,1,1,0,1,1,1,1,1,0,66,'\'(741.552114-inf)\'',100,'\'(18.512556-21.845585]\'',A
'\'(55.369498-80.790919]\'',2,12,9,'\'(57.36167-76.549137]\'',1,13,14,'\'(159.869152-241.1566]\'',1,15,39,'\'(112.254647-inf)\'',1,14,27,'\'(46.650883-58.860938]\'',1,2,12,'\'(64.248229-95.929302]\'',1,6,10,0,0,0,0,0,1,1,1,0,0,1,1,111,'\'(573.253523-741.552114]\'',62,'\'(21.845585-inf)\'',A
'\'(55.369498-80.790919]\'',1,5,9,'\'(-inf-41.257811]\'',1,8,10,'\'(159.869152-241.1566]\'',3,38,28,'\'(-inf-41.626247]\'',1,4,10,'\'(35.369728-46.650883]\'',1,3,8,'\'(64.248229-95.929302]\'',1,7,22,0,1,0,1,1,0,1,1,0,1,1,0,87,'\'(366.642526-459.963402]\'',65,'\'(15.967208-18.512556]\'',A
'\'(55.369498-80.790919]\'',1,14,15,'\'(76.549137-115.960834]\'',2,25,12,'\'(159.869152-241.1566]\'',3,41,20,'\'(-inf-41.626247]\'',1,8,10,'\'(58.860938-81.517634]\'',3,11,8,'\'(38.860268-48.843097]\'',1,11,14,0,0,0,1,1,0,1,1,0,1,1,1,79,'\'(459.963402-573.253523]\'',110,'\'(18.512556-21.845585]\'',A
'\'(55.369498-80.790919]\'',1,12,10,'\'(57.36167-76.549137]\'',2,5,12,'\'(82.466974-112.968721]\'',1,9,26,'\'(-inf-41.626247]\'',1,2,10,'\'(-inf-35.369728]\'',1,2,14,'\'(64.248229-95.929302]\'',1,4,26,0,0,0,1,0,0,1,1,0,1,1,0,98,'\'(-inf-366.642526]\'',34,'\'(15.967208-18.512556]\'',A
'\'(-inf-37.138995]\'',1,15,7,'\'(-inf-41.257811]\'',1,11,10,'\'(82.466974-112.968721]\'',1,15,25,'\'(112.254647-inf)\'',2,12,16,'\'(-inf-35.369728]\'',1,7,14,'\'(48.843097-64.248229]\'',1,9,18,1,1,0,0,0,0,1,1,0,0,1,0,90,'\'(366.642526-459.963402]\'',69,'\'(18.512556-21.845585]\'',A
'\'(55.369498-80.790919]\'',2,20,8,'\'(57.36167-76.549137]\'',2,20,10,'\'(112.968721-159.869152]\'',3,17,16,'\'(55.248765-74.303022]\'',1,4,14,'\'(58.860938-81.517634]\'',1,4,12,'\'(64.248229-95.929302]\'',1,13,13,0,1,1,0,0,0,1,1,1,1,1,1,73,'\'(459.963402-573.253523]\'',78,'\'(15.967208-18.512556]\'',A
'\'(80.790919-135.14993]\'',5,12,7,'\'(76.549137-115.960834]\'',1,10,10,'\'(241.1566-inf)\'',3,100,34,'\'(112.254647-inf)\'',6,155,23,'\'(58.860938-81.517634]\'',1,14,18,'\'(48.843097-64.248229]\'',1,19,11,1,1,0,0,0,0,1,1,0,0,0,1,103,'\'(741.552114-inf)\'',310,'\'(21.845585-inf)\'',A
'\'(37.138995-55.369498]\'',1,8,7,'\'(57.36167-76.549137]\'',2,7,10,'\'(-inf-82.466974]\'',1,9,16,'\'(112.254647-inf)\'',2,9,14,'\'(35.369728-46.650883]\'',1,2,12,'\'(95.929302-inf)\'',4,13,14,1,1,1,0,0,0,1,1,1,1,1,1,73,'\'(459.963402-573.253523]\'',48,'\'(15.967208-18.512556]\'',A
'\'(135.14993-inf)\'',7,127,7,'\'(-inf-41.257811]\'',1,5,10,'\'(112.968721-159.869152]\'',2,10,16,'\'(74.303022-112.254647]\'',1,8,17,'\'(46.650883-58.860938]\'',1,4,12,'\'(95.929302-inf)\'',2,15,12,1,1,1,0,0,0,1,1,1,0,1,1,74,'\'(741.552114-inf)\'',169,'\'(21.845585-inf)\'',A
'\'(80.790919-135.14993]\'',2,13,8,'\'(-inf-41.257811]\'',1,10,10,'\'(112.968721-159.869152]\'',3,28,17,'\'(55.248765-74.303022]\'',2,8,10,'\'(35.369728-46.650883]\'',1,4,12,'\'(48.843097-64.248229]\'',1,10,13,0,1,0,1,0,0,1,1,0,1,1,1,70,'\'(366.642526-459.963402]\'',73,'\'(15.967208-18.512556]\'',A
