op1;op2;op3;op4;op5;op6;sv1;sv2;sv3;sv4;sv5;sv6;lt;tt;pt;game_score;score;score_a;score_p;score_d;score_s;programa;sol1;estado
0;1;0;1;1;1;1;1;0;1;1;1;64;208.265079;54;11.777386;7;3;4;2;2;'INGENIERIA CIVIL INFORMATICA';5.8;A
1;1;0;0;0;0;1;1;0;1;1;0;75;329.092;36;13.593015;9;6;4;2;2;'INGENIERIA EN COMPUTACION E INFORMATICA';5.9;A
1;1;0;0;0;0;1;1;0;0;0;1;79;1030.993132;35;20.941412;8;5;3;3;3;'INGENIERIA INDUSTRIAL';7;A
0;1;0;1;1;1;1;1;0;1;1;1;69;803.490858;126;22.728826;4;3;2;2;1;'INGENIERIA EN COMPUTACION E INFORMATICA';4.5;A
0;1;0;1;0;1;1;1;0;1;1;1;66;445.282085;47;13.954017;3;3;0;1;1;'INGENIERIA CIVIL INDUSTRIAL';5.8;A
1;1;0;1;0;0;1;1;0;1;1;1;71;884.622297;43;18.74461;8;5;3;3;2;'INGENIERIA EN COMPUTACION E INFORMATICA';5.9;A
1;1;1;0;0;1;1;1;1;1;1;1;67;703.856078;25;15.260199;6;4;2;3;2;'INGENIERIA CIVIL INDUSTRIAL';6.7;A
1;1;1;1;1;1;1;1;1;1;1;1;61;609.110721;141;20.49772;7;5;2;2;3;'INGENIERIA EN COMPUTACION E INFORMATICA';5;A
0;1;0;1;0;1;1;1;0;1;1;1;73;322.309829;65;14.985825;7;4;3;2;3;'INGENIERIA EN COMPUTACION E INFORMATICA';6.9;A
1;1;1;1;1;1;1;1;1;1;1;1;61;219.600884;26;9.693081;5;3;2;2;1;'INGENIERIA CIVIL INDUSTRIAL';5.8;A
0;1;0;1;0;1;1;1;0;1;1;1;69;739.647495;40;16.843316;6;3;3;2;3;'INGENIERIA CIVIL INDUSTRIAL';7;A
0;1;1;1;0;0;1;1;1;1;1;1;71;634.337157;182;24.846737;6;3;3;1;2;'INGENIERIA CIVIL INDUSTRIAL';6.3;A
1;1;1;1;0;1;1;1;1;1;1;1;65;673.641393;75;17.713662;7;4;3;2;3;'INGENIERIA CIVIL INDUSTRIAL';6.9;A
1;1;0;0;0;1;1;1;0;0;1;1;71;711.859248;49;17.445343;8;5;4;3;2;'INGENIERIA CIVIL INDUSTRIAL';5.6;A
1;0;0;1;1;1;1;1;0;1;1;1;76;1175.244507;43;22.345389;6;2;3;2;3;'INGENIERIA CIVIL INDUSTRIAL';7;A
1;1;1;1;1;1;1;1;1;1;1;1;61;792.493007;55;16.997572;7;5;3;2;3;'INGENIERIA CIVIL INFORMATICA';6.6;A
1;1;1;1;1;0;1;1;1;1;1;1;65;569.289691;28;13.826971;8;6;3;4;3;'INGENIERIA CIVIL INDUSTRIAL';6.9;A
0;1;1;1;0;0;1;1;1;1;1;1;81;574.293584;113;21.632947;6;3;3;2;2;'INGENIERIA CIVIL INDUSTRIAL';5;A
1;1;0;1;0;1;1;1;0;1;1;1;73;741.609056;24;16.519231;7;5;3;3;2;'INGENIERIA EN COMPUTACION E INFORMATICA';5.6;A
0;1;0;0;0;0;1;1;0;0;1;1;86;280.62778;93;18.370742;3;2;0;2;1;'INGENIERIA CIVIL INDUSTRIAL';5.5;A
1;1;0;1;0;1;1;1;0;1;1;1;66;578.882553;55;15.733251;8;6;3;3;3;'INGENIERIA CIVIL INDUSTRIAL';4.8;A
0;0;0;0;0;0;1;1;0;0;1;0;142;1182.976315;137;38.696189;5;2;2;2;2;'INGENIERIA CIVIL INDUSTRIAL';6;A
