op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,score,score_a,score_p,score_d,score_s,programa,sol1,estado
1,1,1,1,0,1,1,1,1,1,1,1,65,'\'(573.253522-741.552114]\'',75,'\'(15.967208-18.512556]\'',7,4,3,2,3,'INGENIERIA CIVIL INDUSTRIAL',6.9,A
1,1,0,0,0,1,1,1,0,0,1,1,71,'\'(573.253522-741.552114]\'',49,'\'(15.967208-18.512556]\'',8,5,4,3,2,'INGENIERIA CIVIL INDUSTRIAL',5.6,A
1,0,0,1,1,1,1,1,0,1,1,1,76,'\'(741.552114-inf)\'',43,'\'(21.845585-inf)\'',6,2,3,2,3,'INGENIERIA CIVIL INDUSTRIAL',7,A
1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(741.552114-inf)\'',55,'\'(15.967208-18.512556]\'',7,5,3,2,3,'INGENIERIA CIVIL INFORMATICA',6.6,A
1,1,1,1,1,0,1,1,1,1,1,1,65,'\'(459.963403-573.253522]\'',28,'\'(13.465412-15.967208]\'',8,6,3,4,3,'INGENIERIA CIVIL INDUSTRIAL',6.9,A
0,1,1,1,0,0,1,1,1,1,1,1,81,'\'(573.253522-741.552114]\'',113,'\'(18.512556-21.845585]\'',6,3,3,2,2,'INGENIERIA CIVIL INDUSTRIAL',5,A
1,1,0,1,0,1,1,1,0,1,1,1,73,'\'(741.552114-inf)\'',24,'\'(15.967208-18.512556]\'',7,5,3,3,2,'INGENIERIA EN COMPUTACION E INFORMATICA',5.6,A
0,1,0,0,0,0,1,1,0,0,1,1,86,'\'(-inf-366.642527]\'',93,'\'(15.967208-18.512556]\'',3,2,0,2,1,'INGENIERIA CIVIL INDUSTRIAL',5.5,A
1,1,0,1,0,1,1,1,0,1,1,1,66,'\'(573.253522-741.552114]\'',55,'\'(13.465412-15.967208]\'',8,6,3,3,3,'INGENIERIA CIVIL INDUSTRIAL',4.8,A
0,0,0,0,0,0,1,1,0,0,1,0,142,'\'(741.552114-inf)\'',137,'\'(21.845585-inf)\'',5,2,2,2,2,'INGENIERIA CIVIL INDUSTRIAL',6,A
1,1,0,1,1,0,1,1,0,1,1,1,66,'\'(366.642527-459.963403]\'',19,'\'(-inf-13.465412]\'',7,4,3,3,3,'INGENIERIA CIVIL INFORMATICA',5.8,A
1,1,0,1,1,1,1,1,0,1,1,1,63,'\'(741.552114-inf)\'',26,'\'(13.465412-15.967208]\'',10,7,4,4,3,'INGENIERIA CIVIL INFORMATICA',6.2,A
1,1,0,1,0,0,1,1,0,1,0,1,78,'\'(366.642527-459.963403]\'',147,'\'(18.512556-21.845585]\'',5,5,1,2,2,'INGENIERIA CIVIL INDUSTRIAL',6,A
1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(-inf-366.642527]\'',46,'\'(-inf-13.465412]\'',5,2,3,1,2,'INGENIERIA CIVIL INFORMATICA',6.6,A
1,1,0,1,1,1,1,1,0,1,1,1,63,'\'(741.552114-inf)\'',47,'\'(18.512556-21.845585]\'',4,2,3,1,1,'INGENIERIA CIVIL INDUSTRIAL',3.8,A
1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(366.642527-459.963403]\'',89,'\'(13.465412-15.967208]\'',7,3,4,2,3,'INGENIERIA EN COMPUTACION E INFORMATICA',6.1,A
1,0,1,1,1,1,1,1,1,1,1,1,65,'\'(366.642527-459.963403]\'',42,'\'(-inf-13.465412]\'',7,4,4,1,2,'INGENIERIA EN COMPUTACION E INFORMATICA',4.8,A
0,0,0,0,0,0,0,0,0,1,1,0,105,'\'(459.963403-573.253522]\'',80,'\'(21.845585-inf)\'',10,6,4,4,3,'INGENIERIA CIVIL INFORMATICA',6.4,A
